state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/0-DQN/model.py:19: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
3660 episode | score: 18.70 | epsilon: 0.60
3670 episode | score: 18.45 | epsilon: 0.60
3680 episode | score: 19.16 | epsilon: 0.60
3690 episode | score: 18.93 | epsilon: 0.60
3700 episode | score: 18.91 | epsilon: 0.60
3710 episode | score: 19.20 | epsilon: 0.60
3720 episode | score: 20.70 | epsilon: 0.59
3730 episode | score: 20.83 | epsilon: 0.59
3740 episode | score: 21.17 | epsilon: 0.59
3750 episode | score: 21.33 | epsilon: 0.59
3760 episode | score: 20.84 | epsilon: 0.59
3770 episode | score: 20.80 | epsilon: 0.59
3780 episode | score: 20.37 | epsilon: 0.59
3790 episode | score: 20.11 | epsilon: 0.59
3800 episode | score: 19.58 | epsilon: 0.59
3810 episode | score: 19.49 | epsilon: 0.59
3820 episode | score: 19.84 | epsilon: 0.58
3830 episode | score: 20.35 | epsilon: 0.58
3840 episode | score: 20.00 | epsilon: 0.58
3850 episode | score: 19.47 | epsilon: 0.58
3860 episode | score: 18.86 | epsilon: 0.58
3870 episode | score: 19.05 | epsilon: 0.58
3880 episode | score: 18.77 | epsilon: 0.58
3890 episode | score: 18.87 | epsilon: 0.58
3900 episode | score: 18.53 | epsilon: 0.58
3910 episode | score: 19.51 | epsilon: 0.58
3920 episode | score: 19.78 | epsilon: 0.57
3930 episode | score: 20.05 | epsilon: 0.57
3940 episode | score: 19.80 | epsilon: 0.57
3950 episode | score: 19.84 | epsilon: 0.57
3960 episode | score: 19.77 | epsilon: 0.57
3970 episode | score: 19.57 | epsilon: 0.57
3980 episode | score: 19.47 | epsilon: 0.57
3990 episode | score: 19.14 | epsilon: 0.57
4000 episode | score: 18.53 | epsilon: 0.57
4010 episode | score: 18.23 | epsilon: 0.57
4020 episode | score: 17.97 | epsilon: 0.56
4030 episode | score: 17.76 | epsilon: 0.56
4040 episode | score: 17.89 | epsilon: 0.56
4050 episode | score: 17.72 | epsilon: 0.56
4060 episode | score: 17.58 | epsilon: 0.56
4070 episode | score: 17.98 | epsilon: 0.56
4080 episode | score: 17.69 | epsilon: 0.56
4090 episode | score: 17.59 | epsilon: 0.56
4100 episode | score: 17.34 | epsilon: 0.56
4110 episode | score: 17.42 | epsilon: 0.56
4120 episode | score: 17.35 | epsilon: 0.56
4130 episode | score: 17.56 | epsilon: 0.55
4140 episode | score: 17.52 | epsilon: 0.55
4150 episode | score: 17.41 | epsilon: 0.55
4160 episode | score: 17.20 | epsilon: 0.55
4170 episode | score: 17.05 | epsilon: 0.55
4180 episode | score: 17.01 | epsilon: 0.55
4190 episode | score: 16.76 | epsilon: 0.55
4200 episode | score: 17.11 | epsilon: 0.55
4210 episode | score: 17.34 | epsilon: 0.55
4220 episode | score: 17.26 | epsilon: 0.55
4230 episode | score: 17.24 | epsilon: 0.55
4240 episode | score: 17.68 | epsilon: 0.54
4250 episode | score: 17.54 | epsilon: 0.54
4260 episode | score: 17.67 | epsilon: 0.54
4270 episode | score: 18.03 | epsilon: 0.54
4280 episode | score: 17.93 | epsilon: 0.54
4290 episode | score: 17.71 | epsilon: 0.54
4300 episode | score: 17.87 | epsilon: 0.54
4310 episode | score: 17.54 | epsilon: 0.54
4320 episode | score: 17.32 | epsilon: 0.54
4330 episode | score: 17.57 | epsilon: 0.54
4340 episode | score: 17.73 | epsilon: 0.54
4350 episode | score: 17.77 | epsilon: 0.53
4360 episode | score: 18.09 | epsilon: 0.53
4370 episode | score: 17.75 | epsilon: 0.53
4380 episode | score: 17.68 | epsilon: 0.53
4390 episode | score: 17.80 | epsilon: 0.53
4400 episode | score: 18.17 | epsilon: 0.53
4410 episode | score: 18.04 | epsilon: 0.53
4420 episode | score: 18.25 | epsilon: 0.53
4430 episode | score: 18.07 | epsilon: 0.53
4440 episode | score: 18.47 | epsilon: 0.53
4450 episode | score: 18.58 | epsilon: 0.52
4460 episode | score: 18.21 | epsilon: 0.52
4470 episode | score: 18.17 | epsilon: 0.52
4480 episode | score: 18.35 | epsilon: 0.52
4490 episode | score: 18.36 | epsilon: 0.52
4500 episode | score: 18.07 | epsilon: 0.52
4510 episode | score: 17.83 | epsilon: 0.52
4520 episode | score: 17.65 | epsilon: 0.52
4530 episode | score: 17.89 | epsilon: 0.52
4540 episode | score: 18.06 | epsilon: 0.52
4550 episode | score: 18.12 | epsilon: 0.52
4560 episode | score: 18.06 | epsilon: 0.51
4570 episode | score: 18.29 | epsilon: 0.51
4580 episode | score: 17.91 | epsilon: 0.51
4590 episode | score: 17.53 | epsilon: 0.51
4600 episode | score: 17.71 | epsilon: 0.51
4610 episode | score: 17.98 | epsilon: 0.51
4620 episode | score: 17.90 | epsilon: 0.51
4630 episode | score: 18.25 | epsilon: 0.51
4640 episode | score: 18.42 | epsilon: 0.51
4650 episode | score: 18.63 | epsilon: 0.51
4660 episode | score: 19.10 | epsilon: 0.50
4670 episode | score: 19.16 | epsilon: 0.50
4680 episode | score: 19.70 | epsilon: 0.50
4690 episode | score: 20.04 | epsilon: 0.50
4700 episode | score: 19.92 | epsilon: 0.50
4710 episode | score: 19.91 | epsilon: 0.50
4720 episode | score: 20.24 | epsilon: 0.50
4730 episode | score: 20.16 | epsilon: 0.50
4740 episode | score: 20.00 | epsilon: 0.50
4750 episode | score: 20.27 | epsilon: 0.49
4760 episode | score: 20.28 | epsilon: 0.49
4770 episode | score: 20.39 | epsilon: 0.49
4780 episode | score: 21.54 | epsilon: 0.49
4790 episode | score: 21.34 | epsilon: 0.49
4800 episode | score: 21.25 | epsilon: 0.49
4810 episode | score: 21.30 | epsilon: 0.49
4820 episode | score: 21.03 | epsilon: 0.49
4830 episode | score: 20.64 | epsilon: 0.49
4840 episode | score: 20.37 | epsilon: 0.48
4850 episode | score: 20.05 | epsilon: 0.48
4860 episode | score: 19.91 | epsilon: 0.48
4870 episode | score: 19.34 | epsilon: 0.48
4880 episode | score: 19.34 | epsilon: 0.48
4890 episode | score: 18.97 | epsilon: 0.48
4900 episode | score: 18.61 | epsilon: 0.48
4910 episode | score: 18.56 | epsilon: 0.48
4920 episode | score: 18.41 | epsilon: 0.48
4930 episode | score: 18.41 | epsilon: 0.48
4940 episode | score: 18.41 | epsilon: 0.48
4950 episode | score: 18.40 | epsilon: 0.47
4960 episode | score: 18.20 | epsilon: 0.47
4970 episode | score: 18.33 | epsilon: 0.47
4980 episode | score: 18.28 | epsilon: 0.47
4990 episode | score: 18.50 | epsilon: 0.47
5000 episode | score: 19.02 | epsilon: 0.47
5010 episode | score: 19.02 | epsilon: 0.47
5020 episode | score: 19.14 | epsilon: 0.47
5030 episode | score: 19.48 | epsilon: 0.47
5040 episode | score: 20.76 | epsilon: 0.46
5050 episode | score: 20.76 | epsilon: 0.46
5060 episode | score: 20.63 | epsilon: 0.46
5070 episode | score: 20.21 | epsilon: 0.46
5080 episode | score: 20.19 | epsilon: 0.46
5090 episode | score: 19.63 | epsilon: 0.46
5100 episode | score: 19.26 | epsilon: 0.46
5110 episode | score: 19.24 | epsilon: 0.46
5120 episode | score: 18.71 | epsilon: 0.46
5130 episode | score: 18.58 | epsilon: 0.46
5140 episode | score: 18.67 | epsilon: 0.45
5150 episode | score: 18.30 | epsilon: 0.45
5160 episode | score: 18.54 | epsilon: 0.45
5170 episode | score: 18.27 | epsilon: 0.45
5180 episode | score: 17.95 | epsilon: 0.45
5190 episode | score: 18.16 | epsilon: 0.45
