state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/1-DRQN/model.py:20: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
2550 episode | score: 21.53 | epsilon: 0.10
2560 episode | score: 20.84 | epsilon: 0.10
2570 episode | score: 20.47 | epsilon: 0.10
2580 episode | score: 19.95 | epsilon: 0.10
2590 episode | score: 19.96 | epsilon: 0.10
2600 episode | score: 20.31 | epsilon: 0.10
2610 episode | score: 20.34 | epsilon: 0.10
2620 episode | score: 20.83 | epsilon: 0.10
2630 episode | score: 21.04 | epsilon: 0.10
2640 episode | score: 20.57 | epsilon: 0.10
2650 episode | score: 20.40 | epsilon: 0.10
2660 episode | score: 20.21 | epsilon: 0.10
2670 episode | score: 19.91 | epsilon: 0.10
2680 episode | score: 19.79 | epsilon: 0.10
2690 episode | score: 20.02 | epsilon: 0.10
2700 episode | score: 20.46 | epsilon: 0.10
2710 episode | score: 20.50 | epsilon: 0.10
2720 episode | score: 20.81 | epsilon: 0.10
2730 episode | score: 20.58 | epsilon: 0.10
2740 episode | score: 20.48 | epsilon: 0.10
2750 episode | score: 20.39 | epsilon: 0.10
2760 episode | score: 20.48 | epsilon: 0.10
2770 episode | score: 20.68 | epsilon: 0.10
2780 episode | score: 21.12 | epsilon: 0.10
2790 episode | score: 21.43 | epsilon: 0.10
2800 episode | score: 21.71 | epsilon: 0.10
2810 episode | score: 22.41 | epsilon: 0.10
2820 episode | score: 22.80 | epsilon: 0.10
2830 episode | score: 23.37 | epsilon: 0.10
2840 episode | score: 23.84 | epsilon: 0.10
2850 episode | score: 24.96 | epsilon: 0.10
2860 episode | score: 25.58 | epsilon: 0.10
2870 episode | score: 24.93 | epsilon: 0.10
2880 episode | score: 24.30 | epsilon: 0.10
2890 episode | score: 23.75 | epsilon: 0.10
2900 episode | score: 23.45 | epsilon: 0.10
2910 episode | score: 24.28 | epsilon: 0.10
2920 episode | score: 24.47 | epsilon: 0.10
2930 episode | score: 24.25 | epsilon: 0.10
2940 episode | score: 23.94 | epsilon: 0.10
2950 episode | score: 23.72 | epsilon: 0.10
2960 episode | score: 23.79 | epsilon: 0.10
2970 episode | score: 23.61 | epsilon: 0.10
2980 episode | score: 23.37 | epsilon: 0.10
2990 episode | score: 22.92 | epsilon: 0.10
3000 episode | score: 22.72 | epsilon: 0.10
3010 episode | score: 22.09 | epsilon: 0.10
3020 episode | score: 21.81 | epsilon: 0.10
3030 episode | score: 21.55 | epsilon: 0.10
3040 episode | score: 22.72 | epsilon: 0.10
3050 episode | score: 24.08 | epsilon: 0.10
